         234904 function calls (233541 primitive calls) in 13.756 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
       15    0.000    0.000   13.235    0.882 <string>:1(cg)
        6    0.000    0.000    0.001    0.000 <string>:1(non_reentrant)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        8    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.004    0.004   13.758   13.758 FEM_timer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 FEM_timer.py:148(triangles_lowest_level)
      372    0.003    0.000    0.003    0.000 FEM_timer.py:228(tindex)
      186    0.000    0.000    0.003    0.000 FEM_timer.py:268(triangles_of_electrode)
       14    0.007    0.000    0.010    0.001 FEM_timer.py:31(PointsInCircum)
     1728    0.014    0.000    0.075    0.000 FEM_timer.py:324(sigma)
     6696    0.046    0.000    0.047    0.000 FEM_timer.py:399(coef)
     1512    0.003    0.000    0.014    0.000 FEM_timer.py:464(phi)
      192    0.003    0.000    0.015    0.000 FEM_timer.py:548(Dot_over_segment)
      576    0.000    0.000    0.006    0.000 FEM_timer.py:578(phi_i)
      576    0.000    0.000    0.005    0.000 FEM_timer.py:580(phi_j)
    33280    0.007    0.000    0.025    0.000 FEM_timer.py:591(Dot_over_electrode)
      180    0.001    0.000    0.006    0.000 FEM_timer.py:639(over_segment)
      360    0.000    0.000    0.004    0.000 FEM_timer.py:667(phi_i)
     1920    0.001    0.000    0.008    0.000 FEM_timer.py:676(over_electrode)
        1    0.000    0.000    0.000    0.000 FEM_timer.py:720(long_electrode)
     1728    0.047    0.000    0.109    0.000 FEM_timer.py:755(local_matrix_plus_centroid)
    62208    0.007    0.000    0.007    0.000 FEM_timer.py:801(loc2glb)
        1    0.043    0.043    0.239    0.239 FEM_timer.py:822(StressMatrix)
       13    0.002    0.000    0.002    0.000 FEM_timer.py:83(triangles_level)
        1    0.097    0.097    0.124    0.124 FEM_timer.py:863(MassMatrix)
        1    0.004    0.004    0.013    0.013 FEM_timer.py:884(C_Matrix)
        1    0.000    0.000    0.000    0.000 FEM_timer.py:900(D_Matrix)
        1    0.000    0.000   13.235   13.235 FEM_timer.py:922(B_inverse_dot_C)
        1    0.000    0.000    0.000    0.000 FEM_timer.py:974(D1_Matrix)
        1    0.000    0.000    0.000    0.000 FEM_timer.py:986(beta)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:1683(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1718(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1722(ImageTransformHandler)
        1    0.000    0.000    0.001    0.001 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:34(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:407(_E)
        1    0.000    0.000    0.000    0.000 Image.py:444(Image)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:106(MinFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:122(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:140(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:156(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:167(UnsharpMask)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(Filter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:180(BLUR)
